row	col	weight
X46115	X32425	0.719650294556723
X62921	X62922	0.719643962730583
X34534	X53223	0.719168052507335
X42449	X42448	0.71911990041347
X63613	X47788	0.718951802126083
X2132	X62104	0.718934023229239
X34214	X35305	0.718675002995549
X1414	X443	0.717992148834327
X34397	X35153	0.717690471214895
X47076	X32401	0.717658943717579
X48258	X33961	0.717604710752397
X62952	X63853	0.717546287231098
X46666	X46690	0.717364960026125
X57520	X34409	0.717262026955972
X35186	X36600	0.717254934229399
X61861	X61865	0.717027108604273
X62915	X63660	0.716721629331909
X541	X52932	0.716325207542027
X57443	X44877	0.716311989942066
X35718	X44675	0.715774179896704
X1585	X1589	0.715308862934426
X55041	X52464	0.71521896040304
X1585	X33939	0.714572948922648
X1563	X22842	0.71456147357655
X62152	X57483	0.714412058444243
X62954	X47690	0.714254241993331
X52281	X542	0.713803947131511
X43374	X46295	0.71376690392794
X37184	X37185	0.713698074407683
X46144	X37431	0.713659869656984
X52495	X57478	0.71357689334289
X33941	X48182	0.713503560367466
X45404	X47136	0.713474780830614
X22116	X22132	0.713320929848563
X46607	X47773	0.713231529886279
X46683	X47671	0.712713605478721
X31591	X33973	0.712644424207673
X33967	X1587	0.712640589536985
X43374	X46354	0.712424784776872
X62873	X46398	0.711830288691022
X57512	X44681	0.711408713909334
X54979	X19503	0.71095702581679
X22185	X1516	0.710914501931809
X46390	X46707	0.710910504609034
X33968	X62276	0.710781697502814
X33968	X46398	0.710656359023209
X46390	X46681	0.710176532138997
X62296	X62299	0.710165628308725
X46594	X46595	0.710062374817093
X43400	X52286	0.709881630737977
X52433	X57475	0.709246753142698
X22053	X53230	0.70924118959201
X52975	X32620	0.709060210212998
X32391	X34401	0.708810329387196
X48782	X62060	0.708699510992051
X62862	X47690	0.708537603424201
X37506	X62984	0.708535824721357
X32562	X46515	0.708505113483488
X22116	X60	0.708457475447145
X62533	X61873	0.708208731033059
X35153	X44675	0.707867290347255
X54960	X52634	0.707741359182748
X52615	X48490	0.707704791725628
X42374	X62950	0.70766457949887
X48258	X35631	0.707181916495722
X52501	X52779	0.706816489623657
X37203	X32425	0.706740245941279
X37459	X62278	0.706734919234367
X57440	X44877	0.706332550676894
X37076	X33939	0.705323976851111
